Treated,ClosestParty,strongPARTISAN,ControlScenario_1,ControlScenario_2,ControlScenario_3,TreatmentScenario _1,TreatmentScenario _2,TreatmentScenario _3,RepublicanAffect_1,RepublicanAffect_2,RepublicanAffect_3,RepublicanAffect_4,DemocraticAffect_1,DemocraticAffect_2,DemocraticAffect_3,DemocraticAffect_4,RepublicanIdentity_1,RepublicanIdentity_2,RepublicanIdentity_3,RepublicanIdentity_4,DemocraticIdentity_1,DemocraticIdentity_2,DemocraticIdentity_3,DemocraticIdentity_4,gender,college_stats,year,US,InPartyAffect_1,InPartyAffect_2,InPartyAffect_3,InPartyAffect_4,InPartyAffect_avg,OutPartyAffect_1,OutPartyAffect_2,OutPartyAffect_3,OutPartyAffect_4,OutPartyAffect_avg,InPartyIdentity_1,InPartyIdentity_2,InPartyIdentity_3,InPartyIdentity_4,InPartyIdentity_avg,OutPartyIdentity_1,OutPartyIdentity_2,OutPartyIdentity_3,OutPartyIdentity_4,OutPartyIdentity_avg,AffectDiff_1,AffectDiff_2,AffectDiff_3,AffectDiff_4,AffectDiff_avg,IdentityDiff_1,IdentityDiff_2,IdentityDiff_3,IdentityDiff_4,IdentityDiff_avg
TRUE,the Democratic Party,TRUE,NA,NA,NA,ask about the stickers,See where they’re going,Talk about what they do for work,4,5,4,4,6,4,5,6,3,5,4,5,4,6,3,5,Man,TRUE,4,TRUE,6,4,5,6,5.25,4,5,4,4,4.25,4,6,3,5,4.5,3,5,4,5,4.25,2,-1,1,2,1,1,1,-1,0,0.25
FALSE,the Democratic Party,TRUE,trees,water,colorful leaves,NA,NA,NA,2,1,2,2,5,4,5,6,2,1,1,2,6,6,5,5,Woman,TRUE,3,TRUE,5,4,5,6,5,2,1,2,2,1.75,6,6,5,5,5.5,2,1,1,2,1.5,3,3,3,4,3.25,4,5,4,3,4
FALSE,the Democratic Party,TRUE,Fall foliage,Blue sky,Country houses,NA,NA,NA,2,4,3,3,5,5,4,5,3,4,4,4,6,5,4,4,Man,FALSE,3,TRUE,5,5,4,5,4.75,2,4,3,3,3,6,5,4,4,4.75,3,4,4,4,3.75,3,1,1,2,1.75,3,1,0,0,1
FALSE,the Republican Party,FALSE,fall trees,old buildings,other cars,NA,NA,NA,4,4,4,4,4,4,4,4,3,4,4,4,4,5,4,4,Woman,TRUE,3,TRUE,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3.75,4,5,4,4,4.25,0,0,0,0,0,-1,-1,0,0,-0.5
FALSE,the Democratic Party,FALSE,lots of trees,Cute houses,Rolling hills,NA,NA,NA,3,5,5,3,5,3,2,5,2,5,5,4,6,5,3,5,Woman,TRUE,3,TRUE,5,3,2,5,3.75,3,5,5,3,4,6,5,3,5,4.75,2,5,5,4,4,2,-2,-3,2,-0.25,4,0,-2,1,0.75
TRUE,the Democratic Party,FALSE,NA,NA,NA,Talk about the weather,Talk about where that person is going,Talk about where he comes from,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Man,FALSE,2,FALSE,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0
TRUE,the Democratic Party,TRUE,NA,NA,NA,"Our trips: where we're headed, why, and what we're planning on doing there","Our schoolwork/job: what we study/do for a living,why we're interested in it","Where we're from, how it compares to boston",2,2,3,2,6,6,6,6,3,4,4,4,6,6,4,7,Woman,FALSE,4,TRUE,6,6,6,6,6,2,2,3,2,2.25,6,6,4,7,5.75,3,4,4,4,3.75,4,4,3,4,3.75,3,2,0,3,2
FALSE,the Democratic Party,TRUE,Trees,Train tracks,Cars,NA,NA,NA,2,3,3,3,6,4,5,5,2,4,3,4,6,5,4,4,Woman,TRUE,3,TRUE,6,4,5,5,5,2,3,3,3,2.75,6,5,4,4,4.75,2,4,3,4,3.25,4,1,2,2,2.25,4,1,1,0,1.5
FALSE,the Democratic Party,FALSE,Houses,Mountains,Trains,NA,NA,NA,4,6,2,1,1,1,3,1,6,7,4,5,5,2,4,2,NA,NA,NA,NA,1,1,3,1,1.5,4,6,2,1,3.25,5,2,4,2,3.25,6,7,4,5,5.5,-3,-5,1,0,-1.75,-1,-5,0,-3,-2.25
FALSE,the Democratic Party,FALSE,The fall trees with the leaves being orange and yellow,A river looking navy blue,A vibrant sunset the same color as the leaves on the trees,NA,NA,NA,3,5,4,5,4,5,5,7,3,6,3,6,5,6,6,7,Man,TRUE,3,TRUE,4,5,5,7,5.25,3,5,4,5,4.25,5,6,6,7,6,3,6,3,6,4.5,1,0,1,2,1,2,0,3,1,1.5
TRUE,the Democratic Party,FALSE,NA,NA,NA,Current global events such as the Israel-Palestine conflict,Their destination and purpose of their trip,Our personal backgrounds including education and occupation,3,3,3,3,4,3,3,3,2,4,2,3,6,4,3,5,Woman,TRUE,3,TRUE,4,3,3,3,3.25,3,3,3,3,3,6,4,3,5,4.5,2,4,2,3,2.75,1,0,0,0,0.25,4,0,1,2,1.75
TRUE,the Democratic Party,FALSE,NA,NA,NA,Where are you going / why?,Possibly something about public transportation in Boston,Thoughts on Harvard / higher education,3,3,4,6,5,5,5,6,3,4,3,4,3,5,3,4,Woman,TRUE,4,TRUE,5,5,5,6,5.25,3,3,4,6,4,3,5,3,4,3.75,3,4,3,4,3.5,2,2,1,0,1.25,0,1,0,0,0.25
TRUE,the Democratic Party,FALSE,NA,NA,NA,where they're from,their hobbies/interests,their destination,2,2,2,2,5,5,4,5,2,3,5,2,5,6,5,5,NA,NA,NA,NA,5,5,4,5,4.75,2,2,2,2,2,5,6,5,5,5.25,2,3,5,2,3,3,3,2,3,2.75,3,3,0,3,2.25
TRUE,the Democratic Party,TRUE,NA,NA,NA,Harvard,GOP candidates,San Francisco,2,5,2,2,6,6,5,5,2,3,3,3,5,6,3,5,Woman,FALSE,3,TRUE,6,6,5,5,5.5,2,5,2,2,2.75,5,6,3,5,4.75,2,3,3,3,2.75,4,1,3,3,2.75,3,3,0,2,2
TRUE,the Democratic Party,TRUE,NA,NA,NA,Where they are from/where they are going,"If they're my age, where they go to school/what they study","If politics came up, I'd likely try to find a common ground",3,2,3,2,3,4,4,4,2,3,2,6,3,5,3,6,Man,FALSE,4,TRUE,3,4,4,4,3.75,3,2,3,2,2.5,3,5,3,6,4.25,2,3,2,6,3.25,0,2,1,2,1.25,1,2,1,0,1
TRUE,the Democratic Party,TRUE,NA,NA,NA,weather,why going to the destination,age/college/what we both study or work as.,2,2,3,2,5,5,5,6,1,3,3,2,4,5,3,5,Woman,TRUE,4,TRUE,5,5,5,6,5.25,2,2,3,2,2.25,4,5,3,5,4.25,1,3,3,2,2.25,3,3,2,4,3,3,2,0,3,2
TRUE,the Republican Party,FALSE,NA,NA,NA,Immigration,Tax Policy,Abortion,4,4,4,4,4,4,4,4,4,5,4,5,5,4,4,4,Man,TRUE,4,TRUE,4,4,4,4,4,4,4,4,4,4,4,5,4,5,4.5,5,4,4,4,4.25,0,0,0,0,0,-1,1,0,1,0.25
TRUE,the Democratic Party,FALSE,NA,NA,NA,Weather,University,Family,3,3,3,3,5,4,4,4,2,4,3,4,6,5,4,4,NA,NA,NA,NA,5,4,4,4,4.25,3,3,3,3,3,6,5,4,4,4.75,2,4,3,4,3.25,2,1,1,1,1.25,4,1,1,0,1.5
FALSE,the Democratic Party,TRUE,Water,Greenery,Mountains,NA,NA,NA,5,4,4,4,3,4,4,4,3,3,4,3,4,5,3,5,Man,TRUE,3,FALSE,3,4,4,4,3.75,5,4,4,4,4.25,4,5,3,5,4.25,3,3,4,3,3.25,-2,0,0,0,-0.5,1,2,-1,2,1
TRUE,the Democratic Party,FALSE,NA,NA,NA,"Our social backgrounds (my status as a student, what I want to do, my aspirations, hometown, etc.)","Current pop culture/interests (i.e. film, music)",Current state of politics and level of polarization,2,2,2,2,4,5,5,4,2,2,2,2,5,4,4,5,Man,TRUE,3,TRUE,4,5,5,4,4.5,2,2,2,2,2,5,4,4,5,4.5,2,2,2,2,2,2,3,3,2,2.5,3,2,2,3,2.5
TRUE,the Republican Party,FALSE,NA,NA,NA,"Our goals and plans for the future as well as our involvement in campus. This includes the classes we're taking, our concentration, organizations we're involved in, plans for after college, long-term goals, etc.","Our backgrounds, where we are from, and what forms part of our identity. This could include ethnic background, religious background, nationality, state, etc.","Random things we have in common such as languages we may speak, classes we've taken, etc.",6,6,5,6,6,6,4,6,4,5,4,5,5,4,5,6,Woman,TRUE,3,TRUE,6,6,5,6,5.75,6,6,4,6,5.5,4,5,4,5,4.5,5,4,5,6,5,0,0,1,0,0.25,-1,1,-1,-1,-0.5
TRUE,the Democratic Party,FALSE,NA,NA,NA,the weather,why they are leaving Boston,where they are from,4,4,4,4,4,4,3,3,4,4,1,4,4,4,1,4,Man,TRUE,4,TRUE,4,4,3,3,3.5,4,4,4,4,4,4,4,1,4,3.25,4,4,1,4,3.25,0,0,-1,-1,-0.5,0,0,0,0,0
FALSE,the Democratic Party,FALSE,"I'd probably see the red brick roads of Cambridge and the curated scenery, the red trees with leaves falling... and the load of traffic by me and honking noises.","As I go further out, the colonial buildings will be replaced by highways and derelict industrial complexes, more open fields. If the weather is nice, I might be able to see water reflecting off of the rivers, or through the gorgeous water reflecting sunlight.","Finally as we enter towards like, New Hampshire, you'd get to see the fall in full force, the birch trees with orange and yellow leaves littering the ground , the Farmville-esque lawns people in New Hampshire seem to have, and the threadbare but still complete grass.",NA,NA,NA,3,3,4,4,4,4,4,4,3,3,3,2,5,5,4,5,Man,FALSE,4,TRUE,4,4,4,4,4,3,3,4,4,3.5,5,5,4,5,4.75,3,3,3,2,2.75,1,1,0,0,0.5,2,2,1,3,2
FALSE,the Democratic Party,FALSE,Yellowed leaves on the floor,Traditional American-style wooden houses,"Very old churches, from centuries ago",NA,NA,NA,2,2,2,3,6,5,5,6,2,4,3,4,6,4,3,4,Woman,FALSE,2,FALSE,6,5,5,6,5.5,2,2,2,3,2.25,6,4,3,4,4.25,2,4,3,4,3.25,4,3,3,3,3.25,4,0,0,0,1
TRUE,the Democratic Party,TRUE,NA,NA,NA,School,Hometown,Public transit,2,2,3,3,6,6,5,6,1,2,3,3,4,4,4,5,Man,TRUE,4,FALSE,6,6,5,6,5.75,2,2,3,3,2.5,4,4,4,5,4.25,1,2,3,3,2.25,4,4,2,3,3.25,3,2,1,2,2
TRUE,the Democratic Party,FALSE,NA,NA,NA,Background/Family - Where are you from? Family? Kids? Brothers?,Career/Hobbies - What are you interested in? What do you do?  Do you do anything fun? Do I have any similarities with you?,Current Events - a few discussion of what's going on in the world.,4,3,3,5,5,5,5,6,3,3,5,3,5,5,3,5,NA,NA,NA,NA,5,5,5,6,5.25,4,3,3,5,3.75,5,5,3,5,4.5,3,3,5,3,3.5,1,2,2,1,1.5,2,2,-2,2,1
TRUE,the Democratic Party,FALSE,NA,NA,NA,What they were doing in Boston (or where they're going now),If they're a student or working/what they're doing in life,"ask where they're from, what they're hobbies are, etc",2,5,3,3,3,3,4,4,2,3,5,3,2,4,3,4,Woman,TRUE,2,TRUE,3,3,4,4,3.5,2,5,3,3,3.25,2,4,3,4,3.25,2,3,5,3,3.25,1,-2,1,1,0.25,0,1,-2,1,0
FALSE,the Democratic Party,TRUE,colorful trees,gas stations,mountains,NA,NA,NA,2,2,2,2,5,5,5,5,3,4,3,3,6,6,4,6,Woman,TRUE,3,FALSE,5,5,5,5,5,2,2,2,2,2,6,6,4,6,5.5,3,4,3,3,3.25,3,3,3,3,3,3,2,1,3,2.25
TRUE,the Democratic Party,FALSE,NA,NA,NA,I could ask questions about their job or the college they go to and their major.,I would want to learn where they are from and the places they grew up in,I would talk about the nature of their trip  and their plans,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Man,TRUE,3,FALSE,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0
TRUE,the Democratic Party,FALSE,NA,NA,NA,Not politics,Place of Origin,Career,3,3,3,3,5,5,4,5,2,3,4,4,3,6,3,4,NA,NA,NA,NA,5,5,4,5,4.75,3,3,3,3,3,3,6,3,4,4,2,3,4,4,3.25,2,2,1,2,1.75,1,3,-1,0,0.75
FALSE,the Democratic Party,FALSE,"People out in the city (but in a dirty, crowded way)",Lots of trees and nature as the bus starts to leave the city,"As the bus leaves the center of the city more, there are lavish, New England style houses with large open yards",NA,NA,NA,3,3,3,4,6,5,6,6,3,4,3,3,6,5,4,4,Woman,TRUE,2,TRUE,6,5,6,6,5.75,3,3,3,4,3.25,6,5,4,4,4.75,3,4,3,3,3.25,3,2,3,2,2.5,3,1,1,1,1.5
