id,wave,date,fav_trump,fav_biden,indictment,charge_serious,should_be_charged,politically_motivated,suspend_campaign,doj_hunter_nonpartisan,impeach_biden_hunter,PID,age,age4,educ5,edu4,gender,ethnicity,householdsize,inc7,marit5,metropolitan,region4,rent,state,work10,work3,parent,language,religion,race
256550135,2,Aug 2-3,Favorable,Unfavorable,Donald Trump has been indicted by a federal grand jury on charges related to efforts to overturn the 2020 election.,Somewhat serious,Don't know,Yes,Don't know,Not confident at all,Should not,Something else,76,65+,Master's degree or above,Bachelors degree or higher,Male,"White, Non-Hispanic",1,"Less than $10,000",Divorced,Metro,MidWest,Owned or being bought by you or someone in your household,Nebraska,Retired,Not working,not parents of children 0-17 YO,English,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",White
256550136,2,Aug 2-3,Unfavorable,Unfavorable,Donald Trump has been indicted by a federal grand jury on charges related to efforts to overturn the 2020 election.,Very serious,Should,Yes,Should,Somewhat confident,Don't know,An Independent,28,18-29,Master's degree or above,Bachelors degree or higher,Female,"White, Non-Hispanic",1,"$100,000 to $149,999",Never married,Non-Metro,MidWest,Owned or being bought by you or someone in your household,Kansas,Employed full-time (by someone else),Working full-time,not parents of children 0-17 YO,English,Catholic,White
256550137,2,Aug 2-3,Favorable,Unfavorable,Donald Trump has been indicted by a federal grand jury on charges related to efforts to overturn the 2020 election.,Not serious at all,Should not,Yes,Should not,Not confident at all,Should,A Republican,42,30-49,High school graduate (high school diploma or the equivalent GED),High school,Female,"White, Non-Hispanic",Six or more,"$25,000 to $49,999",Now Married,Metro,South,Rented for cash,Georgia,Homemaker,Not working,parents of children 0-17 YO,English,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",White
256550138,2,Aug 2-3,Favorable,Unfavorable,Donald Trump has been indicted by a federal grand jury on charges related to efforts to overturn the 2020 election.,Not serious at all,Should not,Yes,Should not,Not confident at all,Should,A Republican,48,30-49,Some college or Associate degree,Some college,Female,"White, Non-Hispanic",Six or more,"$75,000 to $99,999",Now Married,Metro,South,Owned or being bought by you or someone in your household,Virginia,Self-employed,Working full-time,parents of children 0-17 YO,English,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",White
256550139,2,Aug 2-3,Favorable,Unfavorable,Donald Trump has been indicted by a federal grand jury on charges related to efforts to overturn the 2020 election.,Not too serious,Should not,Yes,Should not,Not confident at all,Don't know,A Republican,51,50-64,High school graduate (high school diploma or the equivalent GED),High school,Female,"White, Non-Hispanic",2,"$25,000 to $49,999",Never married,Metro,South,Owned or being bought by you or someone in your household,Kentucky,Other,Not working,not parents of children 0-17 YO,English,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",White
256550140,2,Aug 2-3,Unfavorable,Unfavorable,Donald Trump has been indicted by a federal grand jury on charges related to efforts to overturn the 2020 election.,Don't know,Don't know,No,Should,Not confident at all,Should,A Republican,64,50-64,Master's degree or above,Bachelors degree or higher,Female,"White, Non-Hispanic",1,"$100,000 to $149,999",Never married,Metro,MidWest,Owned or being bought by you or someone in your household,Nebraska,Employed full-time (by someone else),Working full-time,not parents of children 0-17 YO,English,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",White
256550141,2,Aug 2-3,Unfavorable,Favorable,Donald Trump has been indicted by a federal grand jury on charges related to efforts to overturn the 2020 election.,Very serious,Don't know,No,Should,Not so confident,Should not,An Independent,40,30-49,Master's degree or above,Bachelors degree or higher,Male,"White, Non-Hispanic",5,"$150,000 or more",Now Married,Metro,South,Owned or being bought by you or someone in your household,Texas,Employed full-time (by someone else),Working full-time,parents of children 0-17 YO,English,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",White
256550142,2,Aug 2-3,Unfavorable,Unfavorable,Donald Trump has been indicted by a federal grand jury on charges related to efforts to overturn the 2020 election.,Not too serious,Should not,Yes,Should not,Not so confident,Should,An Independent,45,30-49,Bachelor's degree,Bachelors degree or higher,Female,"Other, Non-Hispanic",4,"$150,000 or more",Now Married,Metro,NorthEast,Owned or being bought by you or someone in your household,Connecticut,Retired,Not working,parents of children 0-17 YO,English,Mormon,Asian
256550143,2,Aug 2-3,Favorable,Unfavorable,Donald Trump has been indicted by a federal grand jury on charges related to efforts to overturn the 2020 election.,Somewhat serious,Should not,Yes,Should not,Not confident at all,Should,A Republican,60,50-64,High school graduate (high school diploma or the equivalent GED),High school,Female,"White, Non-Hispanic",1,"$25,000 to $49,999",Divorced,Metro,MidWest,Rented for cash,Kansas,Other,Not working,not parents of children 0-17 YO,English,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",White
256550144,2,Aug 2-3,Unfavorable,Unfavorable,Donald Trump has been indicted by a federal grand jury on charges related to efforts to overturn the 2020 election.,Don't know,Don't know,Don't know,Should not,Don't know,Should not,A Democrat,28,18-29,Some college or Associate degree,Some college,Male,"Black, Non-Hispanic",Six or more,"$100,000 to $149,999",Never married,Metro,NorthEast,Owned or being bought by you or someone in your household,New Jersey,Employed full-time (by someone else),Working full-time,parents of children 0-17 YO,English,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",Black
256550145,2,Aug 2-3,Unfavorable,Unfavorable,Donald Trump has been indicted by a federal grand jury on charges related to efforts to overturn the 2020 election.,Somewhat serious,Don't know,No,Should,Somewhat confident,Should,A Republican,67,65+,High school graduate (high school diploma or the equivalent GED),High school,Female,"White, Non-Hispanic",2,"$150,000 or more",Now Married,Non-Metro,MidWest,Owned or being bought by you or someone in your household,Indiana,Employed part-time (by someone else),Working part-time,not parents of children 0-17 YO,English,Catholic,White
256550146,2,Aug 2-3,Unfavorable,Unfavorable,Donald Trump has been indicted by a federal grand jury on charges related to efforts to overturn the 2020 election.,Very serious,Should,Don't know,Should,Very confident,Should,A Democrat,62,50-64,Some college or Associate degree,Some college,Male,Hispanic,2,"$50,000 to $74,999",Now Married,Metro,MidWest,Owned or being bought by you or someone in your household,Illinois,Employed full-time (by someone else),Working full-time,not parents of children 0-17 YO,English,Catholic,White
256550147,2,Aug 2-3,Favorable,Unfavorable,Donald Trump has been indicted by a federal grand jury on charges related to efforts to overturn the 2020 election.,Not serious at all,Should not,Yes,Should not,Not so confident,Should,A Republican,46,30-49,Bachelor's degree,Bachelors degree or higher,Male,"White, Non-Hispanic",4,"$75,000 to $99,999",Now Married,Metro,South,Owned or being bought by you or someone in your household,South Carolina,Self-employed,Working full-time,parents of children 0-17 YO,English,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",White
256550148,2,Aug 2-3,Favorable,Unfavorable,Donald Trump has been indicted by a federal grand jury on charges related to efforts to overturn the 2020 election.,Somewhat serious,Should not,Yes,Should not,Not confident at all,Should,A Republican,69,65+,High school graduate (high school diploma or the equivalent GED),High school,Female,"White, Non-Hispanic",2,"$100,000 to $149,999",Now Married,Metro,MidWest,Owned or being bought by you or someone in your household,Indiana,Retired,Not working,not parents of children 0-17 YO,English,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",White
256550149,2,Aug 2-3,Unfavorable,Unfavorable,Donald Trump has been indicted by a federal grand jury on charges related to efforts to overturn the 2020 election.,Don't know,Don't know,Yes,Should not,Not confident at all,Should,An Independent,78,65+,Bachelor's degree,Bachelors degree or higher,Male,"White, Non-Hispanic",2,"$50,000 to $74,999",Now Married,Metro,West,Owned or being bought by you or someone in your household,Oregon,Retired,Not working,not parents of children 0-17 YO,English,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",White
256550150,2,Aug 2-3,No opinion,Unfavorable,Donald Trump has been indicted by a federal grand jury on charges related to efforts to overturn the 2020 election.,Not serious at all,Should not,Yes,Should,Not confident at all,Should,A Republican,74,65+,High school graduate (high school diploma or the equivalent GED),High school,Female,"White, Non-Hispanic",2,"$75,000 to $99,999",Now Married,Metro,MidWest,Owned or being bought by you or someone in your household,Nebraska,Retired,Not working,not parents of children 0-17 YO,English,Catholic,White
256550151,2,Aug 2-3,No opinion,Unfavorable,Donald Trump has been indicted by a federal grand jury on charges related to efforts to overturn the 2020 election.,Somewhat serious,Should not,Yes,Should not,Not so confident,Don't know,A Republican,42,30-49,Bachelor's degree,Bachelors degree or higher,Male,"White, Non-Hispanic",1,"$150,000 or more",Never married,Non-Metro,NorthEast,Owned or being bought by you or someone in your household,New York,Self-employed,Working full-time,not parents of children 0-17 YO,English,Other Christian religion,White
256550152,2,Aug 2-3,Unfavorable,Unfavorable,Donald Trump has been indicted by a federal grand jury on charges related to efforts to overturn the 2020 election.,Somewhat serious,Don't know,Yes,Should not,Not confident at all,Should not,A Republican,40,30-49,Bachelor's degree,Bachelors degree or higher,Female,"2+ Races, Non-Hispanic",5,"$100,000 to $149,999",Now Married,Metro,MidWest,Owned or being bought by you or someone in your household,Missouri,Employed full-time (by someone else),Working full-time,parents of children 0-17 YO,English,Catholic,2+ Races
256550153,2,Aug 2-3,Favorable,Unfavorable,Donald Trump has been indicted by a federal grand jury on charges related to efforts to overturn the 2020 election.,Not serious at all,Should not,Yes,Should not,Not confident at all,Should,A Republican,66,65+,High school graduate (high school diploma or the equivalent GED),High school,Male,"White, Non-Hispanic",2,"$75,000 to $99,999",Now Married,Metro,MidWest,Owned or being bought by you or someone in your household,Indiana,Retired,Not working,not parents of children 0-17 YO,English,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",White
256550154,2,Aug 2-3,Favorable,Unfavorable,Donald Trump has been indicted by a federal grand jury on charges related to efforts to overturn the 2020 election.,Not serious at all,Should not,Yes,Should not,Not confident at all,Should,A Republican,34,30-49,Some college or Associate degree,Some college,Male,"White, Non-Hispanic",3,"$10,000 to $24,999",Now Married,Metro,South,Owned or being bought by you or someone in your household,Georgia,Employed full-time (by someone else),Working full-time,not parents of children 0-17 YO,English,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",White
256550155,2,Aug 2-3,Favorable,Favorable,Donald Trump has been indicted by a federal grand jury on charges related to efforts to overturn the 2020 election.,Very serious,Should,No,Should,Don't know,Should not,An Independent,74,65+,High school graduate (high school diploma or the equivalent GED),High school,Male,"Black, Non-Hispanic",2,"$10,000 to $24,999",Never married,Metro,South,Owned or being bought by you or someone in your household,Tennessee,Retired,Not working,not parents of children 0-17 YO,English,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",Black
